"Cycle";"Block";"Population";"Treatment";"Plates_nbr";"Replicate";"Env";"Pop_type";"Sex_struct";"Day";"Total_assay";"Total_assay_2";"Tot_per_worm";"Fec_today";"Total_fec";"Herm_alive_today";"Herm_dead";"Herm_killed";"Male_alive_today";"Male_dead";"Male_killed";"Herm_alive_yesterday";"Male_alive_yesterday";"Fec_yesterday";"Herm_mortality";"Male_mortality";"Trt_3";"Trt_6";"Rep2"
4;"1";"A00_R1";"H";3;"H";"Ancestral";"Ancestral";"Androdioecious";"3";1396;1396;NA;168;840;5;0;0;0;0;0;5;0;168;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 H"
4;"1";"A00_R1";"H";3;"H";"Ancestral";"Ancestral";"Androdioecious";"4";1396;1396;NA;111,2;556;5;0;0;0;0;0;5;0;111,2;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 H"
4;"1";"A00_R1";"H";3;"H";"Ancestral";"Ancestral";"Androdioecious";"5";1396;1396;NA;NA;NA;5;0;0;0;0;0;5;0;NA;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 H"
4;"1";"A00_R1";"H";3;"I";"Ancestral";"Ancestral";"Androdioecious";"3";1448;1448;NA;193,2;966;5;0;0;0;0;0;5;0;193,2;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 I"
4;"1";"A00_R1";"H";3;"I";"Ancestral";"Ancestral";"Androdioecious";"4";1448;1448;NA;96,4;482;5;0;0;0;0;0;5;0;96,4;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 I"
4;"1";"A00_R1";"H";3;"I";"Ancestral";"Ancestral";"Androdioecious";"5";1448;1448;NA;NA;NA;4;0;0;0;0;0;5;0;NA;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 I"
4;"1";"A00_R1";"H";3;"K";"Ancestral";"Ancestral";"Androdioecious";"3";1176;1176;NA;156,4;782;5;0;0;0;0;0;5;0;156,4;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 K"
4;"1";"A00_R1";"H";3;"K";"Ancestral";"Ancestral";"Androdioecious";"4";1176;1176;NA;78,8;394;5;0;0;0;0;0;5;0;78,8;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 K"
4;"1";"A00_R1";"H";3;"K";"Ancestral";"Ancestral";"Androdioecious";"5";1176;1176;NA;NA;NA;5;0;0;0;0;0;5;0;NA;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 K"
4;"1";"A00_R1";"M";28;"A";"Ancestral";"Ancestral";"Androdioecious";"3";1888;1888;NA;125,2;626;5;0;0;5;0;0;5;5;125,2;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 A"
4;"1";"A00_R1";"M";28;"A";"Ancestral";"Ancestral";"Androdioecious";"4";1888;1888;NA;252,4;1262;5;0;0;4;0;0;5;5;252,4;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 A"
4;"1";"A00_R1";"M";28;"A";"Ancestral";"Ancestral";"Androdioecious";"5";1888;1888;NA;NA;NA;5;0;0;4;0;0;5;4;NA;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 A"
4;"1";"A00_R1";"M";28;"B";"Ancestral";"Ancestral";"Androdioecious";"3";1736;1736;NA;113,2;566;5;0;0;5;0;0;5;5;113,2;0;0;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 B"
4;"1";"A00_R1";"M";28;"B";"Ancestral";"Ancestral";"Androdioecious";"4";1736;1736;NA;234;1170;5;0;0;5;0;0;5;5;234;0;0;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 B"
4;"1";"A00_R1";"M";28;"B";"Ancestral";"Ancestral";"Androdioecious";"5";1736;1736;NA;NA;NA;5;0;0;5;0;0;5;5;NA;0;0;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 B"
4;"1";"A00_R1";"M";28;"C";"Ancestral";"Ancestral";"Androdioecious";"3";1972;1972;NA;148,4;742;5;0;0;5;0;0;5;5;148,4;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 C"
4;"1";"A00_R1";"M";28;"C";"Ancestral";"Ancestral";"Androdioecious";"4";1972;1972;NA;246;1230;5;0;0;4;0;0;5;5;246;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 C"
4;"1";"A00_R1";"M";28;"C";"Ancestral";"Ancestral";"Androdioecious";"5";1972;1972;NA;NA;NA;5;0;0;4;0;0;5;4;NA;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 C"
4;"1";"A00_R1";"M";28;"D";"Ancestral";"Ancestral";"Androdioecious";"3";1274;1274;NA;95,2;476;5;0;0;5;0;0;5;5;95,2;20;0;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 D"
4;"1";"A00_R1";"M";28;"D";"Ancestral";"Ancestral";"Androdioecious";"4";1274;1274;NA;159,6;798;5;0;0;5;0;0;5;5;159,6;20;0;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 D"
4;"1";"A00_R1";"M";28;"D";"Ancestral";"Ancestral";"Androdioecious";"5";1274;1274;NA;NA;NA;4;1;0;5;0;0;5;5;NA;20;0;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 D"
4;"1";"A00_R1";"M";28;"E";"Ancestral";"Ancestral";"Androdioecious";"3";2172;2172;NA;141,2;706;5;0;0;4;0;0;5;5;141,2;0;40;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 E"
4;"1";"A00_R1";"M";28;"E";"Ancestral";"Ancestral";"Androdioecious";"4";2172;2172;NA;293,2;1466;5;0;0;4;0;0;5;4;293,2;0;40;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 E"
4;"1";"A00_R1";"M";28;"E";"Ancestral";"Ancestral";"Androdioecious";"5";2172;2172;NA;NA;NA;5;0;0;3;0;0;5;4;NA;0;40;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 E"
4;"1";"A00_R1";"M";28;"F";"Ancestral";"Ancestral";"Androdioecious";"3";1816;1816;NA;102,4;512;5;0;0;5;0;0;5;5;102,4;20;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 F"
4;"1";"A00_R1";"M";28;"F";"Ancestral";"Ancestral";"Androdioecious";"4";1816;1816;NA;260,8;1304;5;0;0;4;0;0;5;5;260,8;20;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 F"
4;"1";"A00_R1";"M";28;"F";"Ancestral";"Ancestral";"Androdioecious";"5";1816;1816;NA;NA;NA;4;0;0;4;0;0;5;4;NA;20;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 F"
4;"1";"A00_R1";"M";28;"G";"Ancestral";"Ancestral";"Androdioecious";"3";1982;1982;NA;137,2;686;5;0;0;5;0;0;5;5;137,2;0;40;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 G"
4;"1";"A00_R1";"M";28;"G";"Ancestral";"Ancestral";"Androdioecious";"4";1982;1982;NA;259,2;1296;5;0;0;5;0;0;5;5;259,2;0;40;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 G"
4;"1";"A00_R1";"M";28;"G";"Ancestral";"Ancestral";"Androdioecious";"5";1982;1982;NA;NA;NA;5;0;0;3;0;0;5;5;NA;0;40;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 G"
4;"1";"A00_R1";"M";28;"H";"Ancestral";"Ancestral";"Androdioecious";"3";1820;1820;NA;152,8;764;5;0;0;4;0;0;5;5;152,8;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 H"
4;"1";"A00_R1";"M";28;"H";"Ancestral";"Ancestral";"Androdioecious";"4";1820;1820;NA;211,2;1056;5;0;0;4;0;0;5;4;211,2;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 H"
4;"1";"A00_R1";"M";28;"H";"Ancestral";"Ancestral";"Androdioecious";"5";1820;1820;NA;NA;NA;5;0;0;4;0;0;5;4;NA;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 H"
4;"1";"A00_R1";"M";28;"I";"Ancestral";"Ancestral";"Androdioecious";"3";1504;1504;NA;123,2;616;5;0;0;4;0;0;5;5;123,2;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 I"
4;"1";"A00_R1";"M";28;"I";"Ancestral";"Ancestral";"Androdioecious";"4";1504;1504;NA;177,6;888;5;0;0;4;0;0;5;4;177,6;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 I"
4;"1";"A00_R1";"M";28;"I";"Ancestral";"Ancestral";"Androdioecious";"5";1504;1504;NA;NA;NA;5;0;0;4;0;0;5;4;NA;0;20;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 I"
4;"1";"A00_R1";"M";28;"K";"Ancestral";"Ancestral";"Androdioecious";"3";2012;2012;NA;118,8;594;5;0;0;4;0;0;5;5;118,8;20;40;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 K"
4;"1";"A00_R1";"M";28;"K";"Ancestral";"Ancestral";"Androdioecious";"4";2012;2012;NA;283,6;1418;5;0;0;4;0;0;5;4;283,6;20;40;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 K"
4;"1";"A00_R1";"M";28;"K";"Ancestral";"Ancestral";"Androdioecious";"5";2012;2012;NA;NA;NA;4;0;0;3;0;0;5;4;NA;20;40;"M_Androdioecious";"M_Androdioecious_Ancestral";"A00_R1 1 K"
4;"1";"A00_R2";"H";11;"A";"Ancestral";"Ancestral";"Androdioecious";"3";1458;1458;NA;212,4;1062;5;0;0;0;0;0;5;0;212,4;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 A"
